year,PfPR,Cases,Severe cases,Pop,agebin,pfpr2to10,cm_cov_U5,rtss_coverage,itn_coverage,smc_coverage,Run_Number
2022,0.4595644496763,3.695114828646,0.9882283844054,23.27397260274,0.25,0.6588614450186,0.6,0,0,1,1
2023,0.1245622811406,1.917208537459,0.09129564464092,21.90684931507,0.25,0.4330679492909,0.6,0,0,1,1
2024,0.1830022365478,4.177739806473,0.0,20.82465753425,0.25,0.6200807038671,0.6,0,0,1,1
2022,0.5989722714309,3.003718974069,0.2980789821595,218.0630136986,2.0,0.6588614450186,0.6,0,0,1,1
2023,0.171558720189,2.400345220696,0.02837287494913,176.2246575342,2.0,0.4330679492909,0.6,0,0,1,1
2024,0.4306456935431,5.801616966259,0.1137571954168,149.4410958904,2.0,0.6200807038671,0.6,0,0,1,1
2022,0.6542375940685,3.309336151928,0.03800922073424,394.6410958904,5.0,0.6588614450186,0.6,0,0,1,1
2023,0.256759529858,3.427387794247,0.007748427568004,387.1753424658,5.0,0.4330679492909,0.6,0,0,1,1
2024,0.5328535931124,6.243322608992,0.008320732042193,360.5452054795,5.0,0.6200807038671,0.6,0,0,1,1
2022,0.6622807242709,3.271693940274,0.02435969142243,533.6684931507,10.0,0.6588614450186,0.6,0,0,1,1
2023,0.5583878642168,4.037054266082,0.01101515488699,544.704109589,10.0,0.4330679492909,0.6,0,0,1,1
2024,0.6768473003847,5.032391301356,0.01444014720619,554.0109589041,10.0,0.6200807038671,0.6,0,0,1,1
2022,0.6624248931941,3.085376219824,0.01667770929635,479.6821917808,15.0,0.6588614450186,0.6,0,0,1,1
2023,0.6143675576554,3.905088517815,0.01065799267963,469.1315068493,15.0,0.4330679492909,0.6,0,0,1,1
2024,0.7161410973476,4.684143503197,0.006262223934755,479.0630136986,15.0,0.6200807038671,0.6,0,0,1,1
2022,0.6665055519268,3.104049535934,0.02145656361245,419.4520547945,20.0,0.6588614450186,0.6,0,0,1,1
2023,0.6549981788682,3.886758780107,0.02417138544843,413.7123287671,20.0,0.4330679492909,0.6,0,0,1,1
2024,0.7094149896188,4.517241105437,0.002476557623595,403.7863013699,20.0,0.6200807038671,0.6,0,0,1,1
2022,0.6672141901425,2.998641122365,0.02090307499748,2104.953424658,100.0,0.6588614450186,0.6,0,0,1,1
2023,0.6600939584171,3.865457186417,0.005643689772114,2126.268493151,100.0,0.4330679492909,0.6,0,0,1,1
2024,0.713838980977,4.467833440751,0.008461805758998,2127.205479452,100.0,0.6200807038671,0.6,0,0,1,1
2022,0.4583860359221,3.60106240958,0.6001770682633,21.6602739726,0.25,0.6468679262715,0.6,0,0,1,2
2023,0.2023244781784,2.900260802358,0.1298624239862,23.10136986301,0.25,0.4434988871969,0.6,0,0,1,2
2024,0.2112299465241,4.174836613238,0.0,18.44383561644,0.25,0.6347035119404,0.6,0,0,1,2
2022,0.5766816496088,2.865127376281,0.239159213379,209.0657534247,2.0,0.6468679262715,0.6,0,0,1,2
2023,0.1739804672034,2.360432967544,0.01806453801692,166.0712328767,2.0,0.4434988871969,0.6,0,0,1,2
2024,0.4107494322483,6.03037462011,0.1174299754202,144.7671232877,2.0,0.6347035119404,0.6,0,0,1,2
2022,0.6371140280887,3.151995126856,0.0592770955991,388.0082191781,5.0,0.6468679262715,0.6,0,0,1,2
2023,0.2658325588046,3.355901987758,0.00782869826071,383.2054794521,5.0,0.4434988871969,0.6,0,0,1,2
2024,0.5241800152555,6.048898167908,0.0293066771701,341.2191780822,5.0,0.6347035119404,0.6,0,0,1,2
2022,0.6536152670115,3.228731675656,0.03209120384417,560.901369863,10.0,0.6468679262715,0.6,0,0,1,2
2023,0.5667576013095,3.829051255016,0.009052130626515,552.3561643836,10.0,0.4434988871969,0.6,0,0,1,2
2024,0.7008077451329,4.960525026545,0.01752835698426,570.504109589,10.0,0.6347035119404,0.6,0,0,1,2
2022,0.6541510722233,3.055204281583,0.02076800493523,433.3589041096,15.0,0.6468679262715,0.6,0,0,1,2
2023,0.6229840104124,4.105765020009,0.009180022403598,435.7287671233,15.0,0.4434988871969,0.6,0,0,1,2
2024,0.704377183057,4.736004015431,0.0112227583304,445.5232876712,15.0,0.6347035119404,0.6,0,0,1,2
2022,0.651887790992,3.001893330831,0.02879513986409,416.7369863014,20.0,0.6468679262715,0.6,0,0,1,2
2023,0.6573003044671,3.921969598625,0.01440135715529,416.6273972603,20.0,0.4434988871969,0.6,0,0,1,2
2024,0.7116709418643,4.607759412378,0.00761193735525,394.1178082192,20.0,0.6347035119404,0.6,0,0,1,2
2022,0.6562801997123,2.953262100054,0.02516190492315,2146.101369863,100.0,0.6468679262715,0.6,0,0,1,2
2023,0.6674332736054,3.849868559308,0.01014701189706,2168.126027397,100.0,0.4434988871969,0.6,0,0,1,2
2024,0.7114632928502,4.485366013891,0.01196588511812,2172.843835616,100.0,0.6347035119404,0.6,0,0,1,2
2022,0.4423389909323,3.52185529843,1.060799788684,23.56712328767,0.25,0.650383920157,0.6,0,0,1,0
2023,0.1495877502945,2.436199374497,0.2388430759311,20.93424657534,0.25,0.4508418045687,0.6,0,0,1,0
2024,0.1807465618861,3.944007843733,0.04481827095151,22.31232876712,0.25,0.6296980486747,0.6,0,0,1,0
